VOTED,SEX,RACE,EDUC,EMPSTAT,NATIVITY,REGION,METRO,MARST,DIFFMOB,AGE,NCHILD,INCOME_PER_PERSON
voted,male,white,hs_grad,employed,native_born,south,metropolitan,has_spouse,no_mobility_limitation,63,0,27500.0
voted,female,white,hs_grad,employed,native_born,south,metropolitan,has_spouse,no_mobility_limitation,58,0,27500.0
voted,female,white,master_higher,retired,native_born,west,metropolitan,no_spouse,no_mobility_limitation,68,0,87500.0
not_voted,male,white,hs_grad,employed,native_born,south,metropolitan,has_spouse,no_mobility_limitation,33,0,16250.0
not_voted,female,white,hs_grad,not_in_labor_force,native_born,south,metropolitan,has_spouse,no_mobility_limitation,43,0,16250.0
voted,male,black,college_grad,employed,native_born,south,metropolitan,no_spouse,no_mobility_limitation,28,0,125000.0
voted,female,white,hs_grad,retired,native_born,midwest,metropolitan,no_spouse,mobility_limitation,78,0,55000.0
voted,male,white,college_grad,retired,native_born,south,not_metropolitan,has_spouse,no_mobility_limitation,68,0,27500.0
voted,female,white,hs_grad,retired,native_born,south,not_metropolitan,has_spouse,no_mobility_limitation,68,0,27500.0
voted,female,white,hs_grad,retired,native_born,west,not_metropolitan,has_spouse,no_mobility_limitation,68,0,22500.0
voted,male,white,hs_grad,retired,native_born,west,not_metropolitan,has_spouse,no_mobility_limitation,68,0,22500.0
voted,male,white,hs_grad,retired,native_born,south,not_metropolitan,no_spouse,no_mobility_limitation,68,0,27500.0
voted,female,white,college_grad,employed,native_born,midwest,metropolitan,no_spouse,no_mobility_limitation,78,0,55000.0
voted,female,black,hs_grad,employed,native_born,midwest,metropolitan,no_spouse,no_mobility_limitation,58,0,45000.0
voted,female,white,college_grad,retired,native_born,south,not_metropolitan,no_spouse,no_mobility_limitation,78,0,37500.0
voted,male,white,hs_grad,retired,native_born,south,not_metropolitan,has_spouse,no_mobility_limitation,58,0,29166.666666666668
voted,female,white,hs_grad,retired,native_born,south,not_metropolitan,has_spouse,no_mobility_limitation,58,0,29166.666666666668
voted,male,white,hs_grad,retired,native_born,south,not_metropolitan,no_spouse,no_mobility_limitation,73,0,29166.666666666668
not_voted,male,white,hs_grad,retired,native_born,west,metropolitan,no_spouse,no_mobility_limitation,73,1,62500.0
voted,male,white,college_grad,employed,native_born,west,metropolitan,no_spouse,no_mobility_limitation,28,0,62500.0
voted,male,white,college_grad,retired,native_born,northeast,metropolitan,has_spouse,no_mobility_limitation,73,0,16250.0
voted,female,asian,college_grad,employed,foreign_born,northeast,metropolitan,has_spouse,no_mobility_limitation,73,0,16250.0
not_voted,male,white,hs_grad,not_in_labor_force,native_born,west,not_metropolitan,no_spouse,mobility_limitation,78,1,1250.0
voted,female,white,master_higher,employed,native_born,south,metropolitan,has_spouse,no_mobility_limitation,28,1,9166.666666666666
voted,male,white,hs_grad,employed,native_born,south,metropolitan,has_spouse,no_mobility_limitation,28,1,9166.666666666666
