features,coef
SEX_female,[-0.06482636]
SEX_male,[0.15653566]
RACE_asian,[0.19627559]
RACE_black,[-0.24121507]
RACE_indian_aleut_eskimo,[0.19623929]
RACE_others,[0.06850972]
RACE_white,[-0.12810023]
EDUC_college_grad,[0.11223647]
EDUC_hs_grad,[0.52802307]
EDUC_master_higher,[-0.54855024]
EMPSTAT_employed,[-0.08084894]
EMPSTAT_not_in_labor_force,[0.33462382]
EMPSTAT_retired,[-0.20901647]
EMPSTAT_unemployed,[0.04695089]
NATIVITY_foreign_born,[0.35517882]
NATIVITY_native_born,[-0.26346952]
REGION_midwest,[0.04914316]
REGION_northeast,[-0.07918127]
REGION_south,[0.09625084]
REGION_west,[0.02549658]
METRO_metropolitan,[-0.0134109]
METRO_not_metropolitan,[0.1051202]
MARST_has_spouse,[-0.21250699]
MARST_no_spouse,[0.30421629]
DIFFMOB_mobility_limitation,[0.4465524]
DIFFMOB_no_mobility_limitation,[-0.3548431]
AGE,[-0.38696372]
FAMSIZE,[0.09662942]
NCHILD,[0.0986383]
FAMINC,[-0.44230748]
INCOME_PER_PERSON,[-0.00786836]
