features,coef
SEX_female,[-0.01628115]
SEX_male,[0.11548933]
RACE_asian,[0.]
RACE_black,[0.]
RACE_indian_aleut_eskimo,[0.]
RACE_others,[0.]
RACE_white,[0.]
EDUC_college_grad,[0.]
EDUC_hs_grad,[0.39788921]
EDUC_master_higher,[-0.56521374]
EMPSTAT_employed,[0.]
EMPSTAT_not_in_labor_force,[0.38798677]
EMPSTAT_retired,[0.]
EMPSTAT_unemployed,[0.]
NATIVITY_foreign_born,[0.26263604]
NATIVITY_native_born,[-0.25658632]
REGION_midwest,[0.]
REGION_northeast,[-0.03112495]
REGION_south,[0.]
REGION_west,[0.]
METRO_metropolitan,[-0.00391525]
METRO_not_metropolitan,[0.0274019]
MARST_has_spouse,[-0.45367556]
MARST_no_spouse,[0.18336195]
DIFFMOB_mobility_limitation,[0.44729885]
DIFFMOB_no_mobility_limitation,[-0.07897281]
AGE,[-0.33700645]
NCHILD,[0.02014424]
INCOME_PER_PERSON,[-0.34012312]
